팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
키움,"2루타 : 오선진 (3회, 1호) , 최주환 (4회, 3호) , 이주형 (5회, 1호) , 최주환 (7회, 4호) , 전태현 (7회, 1호)","홈런 : 카디네스 (5회, 2호)","병살타 : 김재현 (3회, 1호)","사구 : 김재현 (5회, 1호)","타점 : 푸이그 (2회 1점, 4호) , 이주형 (2회 1점, 1호) , 카디네스 (2회 1점, 9호) , 오선진 (3회 1점, 1호) , 최주환 (4회 1점, 4호) , 이주형 (5회 1점, 2호) , 카디네스 (5회 3점, 12호) , 송성문 (7회 1점, 1호) , 최주환 (7회 1점, 5호) , 전태현 (7회 2점, 2호) , 김재현 (7회 1점, 1호) , 송성문 (8회 1점, 2호)",득점권상황 : 24타수 13안타,"주루사 : 김태진 (7회, 1호)","실책 : 여동욱 (2회, 1호)"
KIA,"2루타 : 위즈덤 (1회, 1호) , 최형우 (1회, 2호) , 윤도현 (3회, 1호) , 윤도현 (5회, 2호) , 한준수 (7회, 1호) , 서건창 (8회, 1호) , 변우혁 (9회, 1호)","타점 : 나성범 (1회 1점, 5호) , 이우성 (1회 1점, 3호) , 최형우 (2회 2점, 5호) , 나성범 (5회 2점, 7호) , 김규성 (7회 2점, 2호) , 서건창 (8회 1점, 1호) , 변우혁 (9회 1점, 1호)",득점권상황 : 18타수 6안타,"도루성공 : 최원준 (2회, 2호)",,,,"실책 : 윤도현 (2회, 1호)"
