팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
키움,정현우,5.0,31,8,6,4,7,0,4,0,7-5,122-69,0-0,28,7.20,3.00,1.17,-0.229,-2.92
키움,김연주,1.0,7,3,2,2,1,0,0,0,1-1,25-15,0-0,,9.00,3.00,0.18,0.010,-2.43
키움,이강준,1.0,4,0,0,0,1,0,1,0,1-1,16-8,2-0,,0.00,1.50,0.26,0.013,1.66
키움,오석주,1.0,6,1,1,1,2,0,1,0,1-1,32-15,0-0,,4.50,1.50,0.02,0.001,-0.38
키움,박윤성,1.0,5,1,1,1,1,0,1,0,0-2,22-12,0-0,,9.00,2.00,0.01,0.001,-0.38
키움,팀 합계,9.0,53,13,10,8,12,0,7,0,10-10,217-119,2-0,28,8.00,2.78,0.33,-0.204,-4.45
KIA,윤영철,2.0,16,6,6,2,3,0,2,0,3-2,52-32,0-0,27,9.00,4.50,1.29,-0.498,-4.76
KIA,황동하,3.0,15,5,5,5,1,1,1,1,2-5,48-33,3-2,,8.44,1.69,0.82,-0.186,-3.16
KIA,이준영,1.0,4,1,0,0,0,0,0,0,0-3,11-7,0-0,,7.71,2.57,0.16,0.009,0.62
KIA,임기영,1.0,9,6,5,5,1,0,0,0,0-2,29-16,0-0,,27.00,4.50,0.09,-0.029,-3.38
KIA,유승철,2.0,11,3,1,1,2,0,3,0,1-2,40-19,0-0,,4.50,2.50,0.01,-0.001,0.23
KIA,팀 합계,9.0,55,21,17,13,7,1,6,1,6-14,180-107,3-2,27,13.00,3.11,0.47,-0.705,-10.45
