팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
두산,"2루타 : 케이브 (1회, 2호) , 정수빈 (9회, 1호)","타점 : 케이브 (1회 1점, 2호) , 양의지 (6회 1점, 2호) , 양석환 (6회 1점, 1호)",득점권상황 : 8타수 3안타,"주루사 : 김재환 (1회, 1호)",,"실책 : 박준영 (2회, 1호)"
KT,"2루타 : 오윤석 (2회, 1호) , 김상수 (3회, 1호) , 로하스 (7회, 2호)","병살타 : 문상철 (8회, 1호)","타점 : 오윤석 (2회 1점, 1호) , 허경민 (5회 1점, 3호)",득점권상황 : 12타수 1안타,"주루사 : 로하스 (7회, 1호)","실책 : 허경민 (9회, 1호)"
