팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,신민혁,5.0,18,2,2,2,1,0,5,0,4-6,77-49,0-0,59,3.60,0.60,0.80,0.103,1.04
NC,김태현,0.0,3,1,2,2,0,2,0,0,0-0,11-4,0-0,,54.00,3.00,0.62,-0.086,-2.02
NC,김진호,2.0,7,1,0,0,0,0,3,0,1-2,28-21,2-1,,0.00,0.50,1.14,0.093,1.24
NC,전사민,1.0,4,0,0,0,0,0,1,0,2-1,12-8,0-0,,15.43,1.71,0.36,0.028,0.61
NC,류진욱,1.0,5,2,2,2,0,0,0,1,1-1,20-12,0-0,,13.50,1.50,0.99,0.018,-1.39
NC,팀 합계,9.0,37,6,6,6,1,2,9,1,8-10,148-94,2-1,59,6.00,0.78,0.78,0.156,-0.52
삼성,이승현,3.2,21,7,5,5,3,1,1,0,3-4,77-43,0-0,25,12.27,2.73,0.92,-0.242,-2.00
삼성,양창섭,0.1,3,1,1,1,0,1,0,0,0-1,10-5,1-1,,13.50,2.25,0.44,-0.080,-1.59
삼성,이승현,1.2,9,4,2,2,1,0,1,1,1-1,32-20,2-1,,23.14,3.86,0.39,-0.048,-1.01
삼성,송은범,2.1,10,3,0,0,1,0,1,0,1-2,26-15,1-0,,2.08,1.85,0.18,0.022,1.47
삼성,이호성,1.0,3,0,0,0,0,0,0,0,2-1,12-9,0-0,,6.00,1.00,0.05,0.004,0.61
삼성,팀 합계,9.0,46,15,8,8,5,2,3,1,7-9,157-92,4-2,25,8.00,2.22,0.40,-0.344,-2.52
