팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
두산,최승용,5.1,25,7,2,2,2,0,3,0,7-6,97-64,0-0,47,3.38,1.69,1.34,-0.057,0.52
두산,박정수,0.2,2,0,0,0,0,0,0,0,0-2,10-6,2-0,,0.00,0.00,3.21,0.155,1.18
두산,김호준,0.1,2,1,0,0,0,0,0,0,1-0,12-7,0-0,,18.00,3.00,1.66,-0.042,-0.24
두산,이영하,1.2,4,1,0,0,0,0,1,0,1-0,12-9,1-0,,6.75,1.50,3.12,0.291,1.47
두산,김택연,1.0,4,0,0,0,1,0,1,0,2-0,19-11,0-0,,0.00,1.00,2.85,0.200,0.62
두산,팀 합계,9.0,37,9,2,2,3,0,5,0,11-8,150-97,3-0,47,2.00,1.33,2.44,0.547,3.55
KT,소형준,6.0,26,9,3,3,0,0,4,0,6-6,79-58,0-0,46,4.50,1.50,1.34,-0.098,0.70
KT,원상현,2.0,6,0,0,0,0,0,3,0,1-2,21-15,0-0,,3.00,0.33,0.71,0.107,1.23
KT,우규민,1.0,5,1,0,0,0,0,0,0,2-2,6-6,0-0,,0.00,0.33,0.72,0.038,0.62
KT,팀 합계,9.0,37,10,3,3,0,0,7,0,9-10,106-79,0-0,46,3.00,1.11,0.92,0.047,2.55
