팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
KT,"2루타 : 오윤석 (7회, 2호)","희생번트 : 오윤석 (5회, 1호) , 안치영 (10회, 1호) , 배정대 (11회, 1호)","희생플라이 : 로하스 (7회, 1호) , 허경민 (11회, 1호)","고의4구 : 김상수 (10회, 1호)","타점 : 오윤석 (7회 2점, 3호) , 로하스 (7회 1점, 2호) , 허경민 (11회 1점, 4호)",득점권상황 : 8타수 1안타,,,,
롯데,"2루타 : 전준우 (1회, 2호) , 정훈 (9회, 2호)","홈런 : 나승엽 (4회, 2호)","희생번트 : 정보근 (9회, 1호) , 전민재 (11회, 2호)","희생플라이 : 레이예스 (5회, 2호)","병살타 : 윤동희 (8회, 2호)","타점 : 나승엽 (4회 1점, 2호) , 레이예스 (5회 1점, 3호) , 정훈 (9회 1점, 1호) , 한태양 (11회 1점, 1호)",득점권상황 : 12타수 3안타,"도루실패 : 장두성 (3회, 1호)","주루사 : 전준우 (1회, 1호) , 한태양 (9회, 1호)","실책 : 손호영 (7회, 1호) , 전민재 (11회, 1호)"
