팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
SSG,"홈런 : 한유섬 (6회, 1호)","희생번트 : 오태곤 (7회, 2호) , 정준재 (8회, 1호)","희생플라이 : 박지환 (8회, 1호)","병살타 : 안상현 (9회, 1호)","사구 : 에레디아 (8회, 1호) , 최상민 (8회, 1호)","타점 : 에레디아 (1회 1점, 6호) , 한유섬 (6회 1점, 2호) , 한유섬 (8회 1점, 3호) , 박성한 (8회 1점, 4호) , 최상민 (8회 1점, 1호) , 오태곤 (8회 1점, 4호) , 박지환 (8회 1점, 2호) , 최지훈 (8회 1점, 5호)",득점권상황 : 10타수 2안타,"도루성공 : 정준재 (1회, 1호)","도루실패 : 이지영 (2회, 1호)","실책 : 에레디아 (6회, 1호) , 박지환 (6회, 1호)"
키움,"홈런 : 송성문 (4회, 1호)","희생번트 : 박주홍 (7회, 1호)","병살타 : 푸이그 (3회, 1호)","사구 : 이주형 (1회, 3호)","타점 : 송성문 (4회 1점, 5호) , 최주환 (8회 1점, 10호)",득점권상황 : 9타수 2안타,"견제사 : 이주형 (3회, 1호)",,,"실책 : 최주환 (2회, 1호) , 이강준 (8회, 1호)"
