팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KIA,올러,5.0,22,4,2,2,2,2,5,0,4-5,99-62,0-0,54,4.09,1.00,1.21,-0.005,0.07
KIA,황동하,1.0,4,0,0,0,1,0,1,0,1-1,14-6,0-0,,6.43,1.57,1.33,0.075,0.61
KIA,최지민,0.1,4,1,1,1,1,0,0,0,1-1,19-10,0-0,,2.45,2.18,2.09,-0.167,-1.56
KIA,조상우,1.2,5,0,0,0,0,0,2,0,2-1,23-16,2-0,,2.45,1.91,2.00,0.245,1.79
KIA,정해영,1.0,3,1,0,0,0,0,0,0,1-1,8-7,0-0,,9.00,2.00,1.95,0.091,0.61
KIA,팀 합계,9.0,38,6,3,3,4,2,8,0,9-9,163-101,2-0,54,3.00,1.11,1.72,0.239,1.52
한화,류현진,6.0,23,6,2,2,1,0,4,1,8-3,76-49,0-0,55,1.50,0.83,1.20,0.070,1.68
한화,이태양,0.1,3,2,2,2,0,0,0,0,0-0,7-4,0-0,,7.71,2.57,2.04,-0.218,-1.24
한화,조동욱,0.2,4,2,1,1,0,0,2,0,0-0,14-11,1-1,,3.86,2.57,0.88,-0.159,-1.15
한화,한승혁,1.0,3,0,0,0,0,0,0,0,3-0,8-5,0-0,,8.10,1.80,0.38,0.028,0.61
한화,정우주,1.0,4,1,0,0,0,0,1,0,0-2,12-8,0-0,,13.50,1.50,0.40,0.017,0.61
한화,팀 합계,9.0,37,11,5,5,1,0,7,1,11-5,117-77,1-1,55,5.00,1.33,0.98,-0.262,0.51
