날짜,팀,기록,기록값
2025-04-06,KIA,GDP,1
2025-04-06,KIA,H,4
2025-04-06,KIA,HR,0
2025-04-06,KIA,R,1
2025-04-06,KIA,SO,10
2025-04-06,KIA,경기결과,L
2025-04-06,KIA,도루,0
2025-04-06,KIA,실책,1
2025-04-06,KT,GDP,2
2025-04-06,KT,H,6
2025-04-06,KT,HR,0
2025-04-06,KT,R,0
2025-04-06,KT,SO,4
2025-04-06,KT,경기결과,L
2025-04-06,KT,도루,0
2025-04-06,KT,실책,0
2025-04-06,LG,GDP,0
2025-04-06,LG,H,6
2025-04-06,LG,HR,0
2025-04-06,LG,R,5
2025-04-06,LG,SO,7
2025-04-06,LG,경기결과,W
2025-04-06,LG,도루,1
2025-04-06,LG,실책,0
2025-04-06,NC,GDP,0
2025-04-06,NC,H,13
2025-04-06,NC,HR,2
2025-04-06,NC,R,8
2025-04-06,NC,SO,10
2025-04-06,NC,경기결과,W
2025-04-06,NC,도루,0
2025-04-06,NC,실책,0
2025-04-06,SSG,GDP,2
2025-04-06,SSG,H,7
2025-04-06,SSG,HR,0
2025-04-06,SSG,R,1
2025-04-06,SSG,SO,6
2025-04-06,SSG,경기결과,W
2025-04-06,SSG,도루,2
2025-04-06,SSG,실책,0
2025-04-06,두산,GDP,1
2025-04-06,두산,H,20
2025-04-06,두산,HR,1
2025-04-06,두산,R,15
2025-04-06,두산,SO,5
2025-04-06,두산,경기결과,W
2025-04-06,두산,도루,2
2025-04-06,두산,실책,1
2025-04-06,롯데,GDP,0
2025-04-06,롯데,H,12
2025-04-06,롯데,HR,1
2025-04-06,롯데,R,12
2025-04-06,롯데,SO,11
2025-04-06,롯데,경기결과,L
2025-04-06,롯데,도루,3
2025-04-06,롯데,실책,0
2025-04-06,삼성,GDP,0
2025-04-06,삼성,H,13
2025-04-06,삼성,HR,1
2025-04-06,삼성,R,10
2025-04-06,삼성,SO,7
2025-04-06,삼성,경기결과,W
2025-04-06,삼성,도루,1
2025-04-06,삼성,실책,0
2025-04-06,키움,GDP,1
2025-04-06,키움,H,5
2025-04-06,키움,HR,0
2025-04-06,키움,R,2
2025-04-06,키움,SO,6
2025-04-06,키움,경기결과,L
2025-04-06,키움,도루,1
2025-04-06,키움,실책,0
2025-04-06,한화,GDP,1
2025-04-06,한화,H,1
2025-04-06,한화,HR,0
2025-04-06,한화,R,0
2025-04-06,한화,SO,7
2025-04-06,한화,경기결과,L
2025-04-06,한화,도루,0
2025-04-06,한화,실책,2
