날짜,팀,기록,기록값
2025-04-04,KIA,GDP,0
2025-04-04,KIA,H,10
2025-04-04,KIA,HR,0
2025-04-04,KIA,R,2
2025-04-04,KIA,SO,7
2025-04-04,KIA,경기결과,L
2025-04-04,KIA,도루,0
2025-04-04,KIA,실책,0
2025-04-04,KT,GDP,1
2025-04-04,KT,H,10
2025-04-04,KT,HR,0
2025-04-04,KT,R,2
2025-04-04,KT,SO,12
2025-04-04,KT,경기결과,L
2025-04-04,KT,도루,1
2025-04-04,KT,실책,0
2025-04-04,LG,GDP,1
2025-04-04,LG,H,10
2025-04-04,LG,HR,0
2025-04-04,LG,R,8
2025-04-04,LG,SO,6
2025-04-04,LG,경기결과,W
2025-04-04,LG,도루,1
2025-04-04,LG,실책,0
2025-04-04,NC,GDP,0
2025-04-04,NC,H,6
2025-04-04,NC,HR,0
2025-04-04,NC,R,1
2025-04-04,NC,SO,10
2025-04-04,NC,경기결과,L
2025-04-04,NC,도루,0
2025-04-04,NC,실책,0
2025-04-04,SSG,GDP,0
2025-04-04,SSG,H,8
2025-04-04,SSG,HR,0
2025-04-04,SSG,R,3
2025-04-04,SSG,SO,8
2025-04-04,SSG,경기결과,W
2025-04-04,SSG,도루,3
2025-04-04,SSG,실책,2
2025-04-04,두산,GDP,1
2025-04-04,두산,H,19
2025-04-04,두산,HR,1
2025-04-04,두산,R,15
2025-04-04,두산,SO,5
2025-04-04,두산,경기결과,W
2025-04-04,두산,도루,2
2025-04-04,두산,실책,0
2025-04-04,롯데,GDP,0
2025-04-04,롯데,H,8
2025-04-04,롯데,HR,0
2025-04-04,롯데,R,3
2025-04-04,롯데,SO,10
2025-04-04,롯데,경기결과,L
2025-04-04,롯데,도루,2
2025-04-04,롯데,실책,3
2025-04-04,삼성,GDP,0
2025-04-04,삼성,H,9
2025-04-04,삼성,HR,2
2025-04-04,삼성,R,5
2025-04-04,삼성,SO,8
2025-04-04,삼성,경기결과,W
2025-04-04,삼성,도루,0
2025-04-04,삼성,실책,1
2025-04-04,키움,GDP,1
2025-04-04,키움,H,7
2025-04-04,키움,HR,1
2025-04-04,키움,R,5
2025-04-04,키움,SO,9
2025-04-04,키움,경기결과,W
2025-04-04,키움,도루,0
2025-04-04,키움,실책,0
2025-04-04,한화,GDP,0
2025-04-04,한화,H,3
2025-04-04,한화,HR,0
2025-04-04,한화,R,0
2025-04-04,한화,SO,8
2025-04-04,한화,경기결과,L
2025-04-04,한화,도루,0
2025-04-04,한화,실책,0
