날짜,팀,기록,기록값
2025-04-02,KIA,GDP,0
2025-04-02,KIA,H,4
2025-04-02,KIA,HR,1
2025-04-02,KIA,R,2
2025-04-02,KIA,SO,12
2025-04-02,KIA,경기결과,L
2025-04-02,KIA,도루,0
2025-04-02,KIA,실책,0
2025-04-02,KT,GDP,0
2025-04-02,KT,H,9
2025-04-02,KT,HR,1
2025-04-02,KT,R,9
2025-04-02,KT,SO,7
2025-04-02,KT,경기결과,W
2025-04-02,KT,도루,0
2025-04-02,KT,실책,1
2025-04-02,LG,GDP,0
2025-04-02,LG,H,9
2025-04-02,LG,HR,1
2025-04-02,LG,R,5
2025-04-02,LG,SO,10
2025-04-02,LG,경기결과,L
2025-04-02,LG,도루,4
2025-04-02,LG,실책,0
2025-04-02,두산,GDP,0
2025-04-02,두산,H,7
2025-04-02,두산,HR,1
2025-04-02,두산,R,5
2025-04-02,두산,SO,6
2025-04-02,두산,경기결과,W
2025-04-02,두산,도루,0
2025-04-02,두산,실책,0
2025-04-02,롯데,GDP,1
2025-04-02,롯데,H,10
2025-04-02,롯데,HR,2
2025-04-02,롯데,R,6
2025-04-02,롯데,SO,6
2025-04-02,롯데,경기결과,W
2025-04-02,롯데,도루,0
2025-04-02,롯데,실책,1
2025-04-02,삼성,GDP,1
2025-04-02,삼성,H,7
2025-04-02,삼성,HR,0
2025-04-02,삼성,R,4
2025-04-02,삼성,SO,10
2025-04-02,삼성,경기결과,W
2025-04-02,삼성,도루,1
2025-04-02,삼성,실책,0
2025-04-02,키움,GDP,0
2025-04-02,키움,H,5
2025-04-02,키움,HR,1
2025-04-02,키움,R,3
2025-04-02,키움,SO,13
2025-04-02,키움,경기결과,L
2025-04-02,키움,도루,0
2025-04-02,키움,실책,3
2025-04-02,한화,GDP,1
2025-04-02,한화,H,8
2025-04-02,한화,HR,0
2025-04-02,한화,R,2
2025-04-02,한화,SO,6
2025-04-02,한화,경기결과,L
2025-04-02,한화,도루,0
2025-04-02,한화,실책,0
