날짜,팀,기록,기록값
2025-03-29,KIA,GDP,2
2025-03-29,KIA,H,6
2025-03-29,KIA,HR,2
2025-03-29,KIA,R,4
2025-03-29,KIA,SO,9
2025-03-29,KIA,경기결과,L
2025-03-29,KIA,도루,0
2025-03-29,KIA,사구,7
2025-03-29,KIA,실책,1
2025-03-29,KT,GDP,2
2025-03-29,KT,H,6
2025-03-29,KT,HR,0
2025-03-29,KT,R,1
2025-03-29,KT,SO,9
2025-03-29,KT,경기결과,L
2025-03-29,KT,도루,0
2025-03-29,KT,사구,5
2025-03-29,KT,실책,0
2025-03-29,LG,GDP,0
2025-03-29,LG,H,12
2025-03-29,LG,HR,2
2025-03-29,LG,R,14
2025-03-29,LG,SO,5
2025-03-29,LG,경기결과,W
2025-03-29,LG,도루,1
2025-03-29,LG,사구,8
2025-03-29,LG,실책,2
2025-03-29,NC,GDP,1
2025-03-29,NC,H,8
2025-03-29,NC,HR,3
2025-03-29,NC,R,4
2025-03-29,NC,SO,9
2025-03-29,NC,경기결과,L
2025-03-29,NC,도루,0
2025-03-29,NC,사구,1
2025-03-29,NC,실책,4
2025-03-29,SSG,GDP,1
2025-03-29,SSG,H,7
2025-03-29,SSG,HR,0
2025-03-29,SSG,R,1
2025-03-29,SSG,SO,8
2025-03-29,SSG,경기결과,L
2025-03-29,SSG,도루,0
2025-03-29,SSG,사구,1
2025-03-29,SSG,실책,1
2025-03-29,두산,GDP,1
2025-03-29,두산,H,3
2025-03-29,두산,HR,0
2025-03-29,두산,R,2
2025-03-29,두산,SO,8
2025-03-29,두산,경기결과,L
2025-03-29,두산,도루,0
2025-03-29,두산,사구,2
2025-03-29,두산,실책,2
2025-03-29,롯데,GDP,0
2025-03-29,롯데,H,8
2025-03-29,롯데,HR,1
2025-03-29,롯데,R,3
2025-03-29,롯데,SO,5
2025-03-29,롯데,경기결과,W
2025-03-29,롯데,도루,0
2025-03-29,롯데,사구,1
2025-03-29,롯데,실책,1
2025-03-29,삼성,GDP,0
2025-03-29,삼성,H,15
2025-03-29,삼성,HR,0
2025-03-29,삼성,R,13
2025-03-29,삼성,SO,9
2025-03-29,삼성,경기결과,W
2025-03-29,삼성,도루,0
2025-03-29,삼성,사구,5
2025-03-29,삼성,실책,1
2025-03-29,키움,GDP,1
2025-03-29,키움,H,9
2025-03-29,키움,HR,2
2025-03-29,키움,R,3
2025-03-29,키움,SO,7
2025-03-29,키움,경기결과,W
2025-03-29,키움,도루,1
2025-03-29,키움,사구,4
2025-03-29,키움,실책,0
2025-03-29,한화,GDP,1
2025-03-29,한화,H,9
2025-03-29,한화,HR,0
2025-03-29,한화,R,5
2025-03-29,한화,SO,7
2025-03-29,한화,경기결과,W
2025-03-29,한화,도루,1
2025-03-29,한화,사구,4
2025-03-29,한화,실책,0
