날짜,팀,기록,기록값
2025-04-03,KIA,GDP,0
2025-04-03,KIA,H,4
2025-04-03,KIA,HR,0
2025-04-03,KIA,R,3
2025-04-03,KIA,SO,6
2025-04-03,KIA,경기결과,W
2025-04-03,KIA,도루,0
2025-04-03,KIA,실책,2
2025-04-03,KT,GDP,2
2025-04-03,KT,H,7
2025-04-03,KT,HR,0
2025-04-03,KT,R,1
2025-04-03,KT,SO,7
2025-04-03,KT,경기결과,L
2025-04-03,KT,도루,0
2025-04-03,KT,실책,2
2025-04-03,LG,GDP,1
2025-04-03,LG,H,9
2025-04-03,LG,HR,1
2025-04-03,LG,R,5
2025-04-03,LG,SO,5
2025-04-03,LG,경기결과,W
2025-04-03,LG,도루,3
2025-04-03,LG,실책,0
2025-04-03,두산,GDP,2
2025-04-03,두산,H,8
2025-04-03,두산,HR,2
2025-04-03,두산,R,6
2025-04-03,두산,SO,9
2025-04-03,두산,경기결과,W
2025-04-03,두산,도루,2
2025-04-03,두산,실책,0
2025-04-03,롯데,GDP,0
2025-04-03,롯데,H,10
2025-04-03,롯데,HR,0
2025-04-03,롯데,R,4
2025-04-03,롯데,SO,10
2025-04-03,롯데,경기결과,W
2025-04-03,롯데,도루,0
2025-04-03,롯데,실책,1
2025-04-03,삼성,GDP,0
2025-04-03,삼성,H,4
2025-04-03,삼성,HR,0
2025-04-03,삼성,R,1
2025-04-03,삼성,SO,6
2025-04-03,삼성,경기결과,L
2025-04-03,삼성,도루,2
2025-04-03,삼성,실책,0
2025-04-03,키움,GDP,2
2025-04-03,키움,H,7
2025-04-03,키움,HR,0
2025-04-03,키움,R,1
2025-04-03,키움,SO,9
2025-04-03,키움,경기결과,L
2025-04-03,키움,도루,0
2025-04-03,키움,실책,3
2025-04-03,한화,GDP,0
2025-04-03,한화,H,7
2025-04-03,한화,HR,0
2025-04-03,한화,R,2
2025-04-03,한화,SO,9
2025-04-03,한화,경기결과,L
2025-04-03,한화,도루,0
2025-04-03,한화,실책,0
