날짜,팀,기록,기록값
2025-03-27,KIA,GDP,1
2025-03-27,KIA,H,6
2025-03-27,KIA,HR,1
2025-03-27,KIA,R,3
2025-03-27,KIA,SO,5
2025-03-27,KIA,경기결과,L
2025-03-27,KIA,도루,0
2025-03-27,KIA,사구,8
2025-03-27,KIA,실책,2
2025-03-27,KT,GDP,0
2025-03-27,KT,H,7
2025-03-27,KT,HR,1
2025-03-27,KT,R,4
2025-03-27,KT,SO,10
2025-03-27,KT,경기결과,W
2025-03-27,KT,도루,1
2025-03-27,KT,사구,4
2025-03-27,KT,실책,0
2025-03-27,LG,GDP,0
2025-03-27,LG,H,5
2025-03-27,LG,HR,0
2025-03-27,LG,R,2
2025-03-27,LG,SO,7
2025-03-27,LG,경기결과,W
2025-03-27,LG,도루,1
2025-03-27,LG,사구,4
2025-03-27,LG,실책,0
2025-03-27,NC,GDP,2
2025-03-27,NC,H,17
2025-03-27,NC,HR,1
2025-03-27,NC,R,11
2025-03-27,NC,SO,7
2025-03-27,NC,경기결과,W
2025-03-27,NC,도루,1
2025-03-27,NC,사구,6
2025-03-27,NC,실책,0
2025-03-27,SSG,GDP,1
2025-03-27,SSG,H,11
2025-03-27,SSG,HR,0
2025-03-27,SSG,R,5
2025-03-27,SSG,SO,10
2025-03-27,SSG,경기결과,W
2025-03-27,SSG,도루,0
2025-03-27,SSG,사구,3
2025-03-27,SSG,실책,0
2025-03-27,두산,GDP,1
2025-03-27,두산,H,8
2025-03-27,두산,HR,1
2025-03-27,두산,R,3
2025-03-27,두산,SO,9
2025-03-27,두산,경기결과,L
2025-03-27,두산,도루,2
2025-03-27,두산,사구,6
2025-03-27,두산,실책,0
2025-03-27,롯데,GDP,2
2025-03-27,롯데,H,2
2025-03-27,롯데,HR,0
2025-03-27,롯데,R,2
2025-03-27,롯데,SO,10
2025-03-27,롯데,경기결과,L
2025-03-27,롯데,도루,1
2025-03-27,롯데,사구,9
2025-03-27,롯데,실책,1
2025-03-27,삼성,GDP,0
2025-03-27,삼성,H,5
2025-03-27,삼성,HR,1
2025-03-27,삼성,R,5
2025-03-27,삼성,SO,4
2025-03-27,삼성,경기결과,L
2025-03-27,삼성,도루,0
2025-03-27,삼성,사구,7
2025-03-27,삼성,실책,3
2025-03-27,키움,GDP,0
2025-03-27,키움,H,9
2025-03-27,키움,HR,0
2025-03-27,키움,R,5
2025-03-27,키움,SO,6
2025-03-27,키움,경기결과,W
2025-03-27,키움,도루,0
2025-03-27,키움,사구,7
2025-03-27,키움,실책,1
2025-03-27,한화,GDP,1
2025-03-27,한화,H,2
2025-03-27,한화,HR,0
2025-03-27,한화,R,1
2025-03-27,한화,SO,5
2025-03-27,한화,경기결과,L
2025-03-27,한화,도루,0
2025-03-27,한화,사구,3
2025-03-27,한화,실책,2
