날짜,팀,기록,기록값
2025-03-25,KIA,GDP,0
2025-03-25,KIA,H,17
2025-03-25,KIA,HR,5
2025-03-25,KIA,R,11
2025-03-25,KIA,SO,5
2025-03-25,KIA,경기결과,W
2025-03-25,KIA,도루,2
2025-03-25,KIA,사구,3
2025-03-25,KIA,실책,1
2025-03-25,KT,GDP,0
2025-03-25,KT,H,12
2025-03-25,KT,HR,2
2025-03-25,KT,R,8
2025-03-25,KT,SO,4
2025-03-25,KT,경기결과,W
2025-03-25,KT,도루,1
2025-03-25,KT,사구,5
2025-03-25,KT,실책,1
2025-03-25,LG,GDP,0
2025-03-25,LG,H,6
2025-03-25,LG,HR,0
2025-03-25,LG,R,5
2025-03-25,LG,SO,7
2025-03-25,LG,경기결과,W
2025-03-25,LG,도루,0
2025-03-25,LG,사구,5
2025-03-25,LG,실책,0
2025-03-25,NC,GDP,0
2025-03-25,NC,H,10
2025-03-25,NC,HR,0
2025-03-25,NC,R,5
2025-03-25,NC,SO,11
2025-03-25,NC,경기결과,L
2025-03-25,NC,도루,0
2025-03-25,NC,사구,5
2025-03-25,NC,실책,1
2025-03-25,SSG,GDP,0
2025-03-25,SSG,H,4
2025-03-25,SSG,HR,2
2025-03-25,SSG,R,2
2025-03-25,SSG,SO,6
2025-03-25,SSG,경기결과,L
2025-03-25,SSG,도루,1
2025-03-25,SSG,사구,5
2025-03-25,SSG,실책,1
2025-03-25,두산,GDP,1
2025-03-25,두산,H,12
2025-03-25,두산,HR,0
2025-03-25,두산,R,3
2025-03-25,두산,SO,10
2025-03-25,두산,경기결과,L
2025-03-25,두산,도루,1
2025-03-25,두산,사구,2
2025-03-25,두산,실책,0
2025-03-25,롯데,GDP,2
2025-03-25,롯데,H,10
2025-03-25,롯데,HR,0
2025-03-25,롯데,R,3
2025-03-25,롯데,SO,6
2025-03-25,롯데,경기결과,W
2025-03-25,롯데,도루,1
2025-03-25,롯데,사구,5
2025-03-25,롯데,실책,1
2025-03-25,삼성,GDP,2
2025-03-25,삼성,H,12
2025-03-25,삼성,HR,4
2025-03-25,삼성,R,14
2025-03-25,삼성,SO,9
2025-03-25,삼성,경기결과,W
2025-03-25,삼성,도루,0
2025-03-25,삼성,사구,9
2025-03-25,삼성,실책,0
2025-03-25,키움,GDP,0
2025-03-25,키움,H,10
2025-03-25,키움,HR,1
2025-03-25,키움,R,6
2025-03-25,키움,SO,9
2025-03-25,키움,경기결과,L
2025-03-25,키움,도루,1
2025-03-25,키움,사구,3
2025-03-25,키움,실책,1
2025-03-25,한화,GDP,0
2025-03-25,한화,H,2
2025-03-25,한화,HR,0
2025-03-25,한화,R,0
2025-03-25,한화,SO,9
2025-03-25,한화,경기결과,L
2025-03-25,한화,도루,0
2025-03-25,한화,사구,1
2025-03-25,한화,실책,1
