날짜,팀,기록,기록값
2025-04-10,KIA,GDP,1
2025-04-10,KIA,H,6
2025-04-10,KIA,HR,0
2025-04-10,KIA,R,3
2025-04-10,KIA,SO,9
2025-04-10,KIA,경기결과,L
2025-04-10,KIA,도루,0
2025-04-10,KIA,실책,1
2025-04-10,KT,GDP,0
2025-04-10,KT,H,3
2025-04-10,KT,HR,0
2025-04-10,KT,R,0
2025-04-10,KT,SO,16
2025-04-10,KT,경기결과,L
2025-04-10,KT,도루,1
2025-04-10,KT,실책,1
2025-04-10,LG,GDP,2
2025-04-10,LG,H,13
2025-04-10,LG,HR,1
2025-04-10,LG,R,7
2025-04-10,LG,SO,8
2025-04-10,LG,경기결과,W
2025-04-10,LG,도루,1
2025-04-10,LG,실책,0
2025-04-10,NC,GDP,0
2025-04-10,NC,H,9
2025-04-10,NC,HR,3
2025-04-10,NC,R,7
2025-04-10,NC,SO,6
2025-04-10,NC,경기결과,W
2025-04-10,NC,도루,0
2025-04-10,NC,실책,2
2025-04-10,SSG,GDP,1
2025-04-10,SSG,H,11
2025-04-10,SSG,HR,0
2025-04-10,SSG,R,2
2025-04-10,SSG,SO,6
2025-04-10,SSG,경기결과,L
2025-04-10,SSG,도루,0
2025-04-10,SSG,실책,0
2025-04-10,두산,GDP,0
2025-04-10,두산,H,4
2025-04-10,두산,HR,1
2025-04-10,두산,R,2
2025-04-10,두산,SO,10
2025-04-10,두산,경기결과,L
2025-04-10,두산,도루,0
2025-04-10,두산,실책,0
2025-04-10,롯데,GDP,0
2025-04-10,롯데,H,13
2025-04-10,롯데,HR,1
2025-04-10,롯데,R,8
2025-04-10,롯데,SO,5
2025-04-10,롯데,경기결과,W
2025-04-10,롯데,도루,1
2025-04-10,롯데,실책,0
2025-04-10,삼성,GDP,0
2025-04-10,삼성,H,7
2025-04-10,삼성,HR,0
2025-04-10,삼성,R,3
2025-04-10,삼성,SO,12
2025-04-10,삼성,경기결과,W
2025-04-10,삼성,도루,0
2025-04-10,삼성,실책,0
2025-04-10,키움,GDP,1
2025-04-10,키움,H,8
2025-04-10,키움,HR,1
2025-04-10,키움,R,3
2025-04-10,키움,SO,7
2025-04-10,키움,경기결과,L
2025-04-10,키움,도루,1
2025-04-10,키움,실책,0
2025-04-10,한화,GDP,2
2025-04-10,한화,H,13
2025-04-10,한화,HR,0
2025-04-10,한화,R,7
2025-04-10,한화,SO,9
2025-04-10,한화,경기결과,W
2025-04-10,한화,도루,5
2025-04-10,한화,실책,0
