날짜,팀,기록,기록값
2025-04-08,KIA,GDP,0
2025-04-08,KIA,H,8
2025-04-08,KIA,HR,0
2025-04-08,KIA,R,5
2025-04-08,KIA,SO,8
2025-04-08,KIA,경기결과,W
2025-04-08,KIA,도루,2
2025-04-08,KIA,실책,1
2025-04-08,KT,GDP,0
2025-04-08,KT,H,4
2025-04-08,KT,HR,0
2025-04-08,KT,R,3
2025-04-08,KT,SO,9
2025-04-08,KT,경기결과,W
2025-04-08,KT,도루,1
2025-04-08,KT,실책,0
2025-04-08,LG,GDP,1
2025-04-08,LG,H,13
2025-04-08,LG,HR,2
2025-04-08,LG,R,13
2025-04-08,LG,SO,5
2025-04-08,LG,경기결과,W
2025-04-08,LG,도루,0
2025-04-08,LG,실책,1
2025-04-08,NC,GDP,0
2025-04-08,NC,H,4
2025-04-08,NC,HR,1
2025-04-08,NC,R,2
2025-04-08,NC,SO,13
2025-04-08,NC,경기결과,L
2025-04-08,NC,도루,1
2025-04-08,NC,실책,0
2025-04-08,SSG,GDP,0
2025-04-08,SSG,H,7
2025-04-08,SSG,HR,1
2025-04-08,SSG,R,3
2025-04-08,SSG,SO,11
2025-04-08,SSG,경기결과,L
2025-04-08,SSG,도루,1
2025-04-08,SSG,실책,0
2025-04-08,두산,GDP,0
2025-04-08,두산,H,11
2025-04-08,두산,HR,1
2025-04-08,두산,R,6
2025-04-08,두산,SO,10
2025-04-08,두산,경기결과,W
2025-04-08,두산,도루,1
2025-04-08,두산,실책,1
2025-04-08,롯데,GDP,1
2025-04-08,롯데,H,12
2025-04-08,롯데,HR,0
2025-04-08,롯데,R,4
2025-04-08,롯데,SO,8
2025-04-08,롯데,경기결과,L
2025-04-08,롯데,도루,1
2025-04-08,롯데,실책,3
2025-04-08,삼성,GDP,0
2025-04-08,삼성,H,11
2025-04-08,삼성,HR,1
2025-04-08,삼성,R,7
2025-04-08,삼성,SO,10
2025-04-08,삼성,경기결과,W
2025-04-08,삼성,도루,0
2025-04-08,삼성,실책,0
2025-04-08,키움,GDP,4
2025-04-08,키움,H,6
2025-04-08,키움,HR,0
2025-04-08,키움,R,1
2025-04-08,키움,SO,6
2025-04-08,키움,경기결과,L
2025-04-08,키움,도루,0
2025-04-08,키움,실책,2
2025-04-08,한화,GDP,1
2025-04-08,한화,H,12
2025-04-08,한화,HR,1
2025-04-08,한화,R,5
2025-04-08,한화,SO,9
2025-04-08,한화,경기결과,L
2025-04-08,한화,도루,0
2025-04-08,한화,실책,1
