날짜,팀,기록,기록값
2025-04-05,NC,GDP,1
2025-04-05,NC,H,12
2025-04-05,NC,HR,1
2025-04-05,NC,R,7
2025-04-05,NC,SO,9
2025-04-05,NC,경기결과,W
2025-04-05,NC,도루,1
2025-04-05,NC,실책,0
2025-04-05,두산,GDP,0
2025-04-05,두산,H,7
2025-04-05,두산,HR,0
2025-04-05,두산,R,1
2025-04-05,두산,SO,11
2025-04-05,두산,경기결과,L
2025-04-05,두산,도루,0
2025-04-05,두산,실책,1
2025-04-05,롯데,GDP,0
2025-04-05,롯데,H,11
2025-04-05,롯데,HR,1
2025-04-05,롯데,R,6
2025-04-05,롯데,SO,8
2025-04-05,롯데,경기결과,W
2025-04-05,롯데,도루,1
2025-04-05,롯데,실책,0
2025-04-05,삼성,GDP,0
2025-04-05,삼성,H,10
2025-04-05,삼성,HR,3
2025-04-05,삼성,R,6
2025-04-05,삼성,SO,4
2025-04-05,삼성,경기결과,L
2025-04-05,삼성,도루,0
2025-04-05,삼성,실책,1
2025-04-05,키움,GDP,1
2025-04-05,키움,H,4
2025-04-05,키움,HR,1
2025-04-05,키움,R,5
2025-04-05,키움,SO,8
2025-04-05,키움,경기결과,L
2025-04-05,키움,도루,0
2025-04-05,키움,실책,0
2025-04-05,한화,GDP,0
2025-04-05,한화,H,8
2025-04-05,한화,HR,3
2025-04-05,한화,R,7
2025-04-05,한화,SO,6
2025-04-05,한화,경기결과,W
2025-04-05,한화,도루,0
2025-04-05,한화,실책,0
