날짜,팀,기록,기록값
2025-03-23,KIA,GDP,0
2025-03-23,KIA,H,6
2025-03-23,KIA,HR,2
2025-03-23,KIA,R,4
2025-03-23,KIA,SO,9
2025-03-23,KIA,경기결과,L
2025-03-23,KIA,도루,0
2025-03-23,KIA,사구,3
2025-03-23,KIA,실책,0
2025-03-23,KT,GDP,0
2025-03-23,KT,H,7
2025-03-23,KT,HR,0
2025-03-23,KT,R,5
2025-03-23,KT,SO,5
2025-03-23,KT,경기결과,W
2025-03-23,KT,도루,1
2025-03-23,KT,사구,5
2025-03-23,KT,실책,0
2025-03-23,LG,GDP,0
2025-03-23,LG,H,13
2025-03-23,LG,HR,5
2025-03-23,LG,R,10
2025-03-23,LG,SO,10
2025-03-23,LG,경기결과,W
2025-03-23,LG,도루,2
2025-03-23,LG,사구,2
2025-03-23,LG,실책,0
2025-03-23,NC,GDP,1
2025-03-23,NC,H,10
2025-03-23,NC,HR,1
2025-03-23,NC,R,5
2025-03-23,NC,SO,7
2025-03-23,NC,경기결과,W
2025-03-23,NC,도루,0
2025-03-23,NC,사구,5
2025-03-23,NC,실책,0
2025-03-23,SSG,GDP,1
2025-03-23,SSG,H,10
2025-03-23,SSG,HR,0
2025-03-23,SSG,R,5
2025-03-23,SSG,SO,8
2025-03-23,SSG,경기결과,W
2025-03-23,SSG,도루,2
2025-03-23,SSG,사구,3
2025-03-23,SSG,실책,0
2025-03-23,두산,GDP,0
2025-03-23,두산,H,9
2025-03-23,두산,HR,0
2025-03-23,두산,R,2
2025-03-23,두산,SO,12
2025-03-23,두산,경기결과,L
2025-03-23,두산,도루,0
2025-03-23,두산,사구,2
2025-03-23,두산,실책,0
2025-03-23,롯데,GDP,2
2025-03-23,롯데,H,6
2025-03-23,롯데,HR,0
2025-03-23,롯데,R,2
2025-03-23,롯데,SO,7
2025-03-23,롯데,경기결과,L
2025-03-23,롯데,도루,0
2025-03-23,롯데,사구,4
2025-03-23,롯데,실책,0
2025-03-23,삼성,GDP,0
2025-03-23,삼성,H,15
2025-03-23,삼성,HR,4
2025-03-23,삼성,R,11
2025-03-23,삼성,SO,8
2025-03-23,삼성,경기결과,W
2025-03-23,삼성,도루,4
2025-03-23,삼성,사구,4
2025-03-23,삼성,실책,0
2025-03-23,키움,GDP,1
2025-03-23,키움,H,11
2025-03-23,키움,HR,1
2025-03-23,키움,R,7
2025-03-23,키움,SO,12
2025-03-23,키움,경기결과,L
2025-03-23,키움,도루,0
2025-03-23,키움,사구,5
2025-03-23,키움,실책,0
2025-03-23,한화,GDP,2
2025-03-23,한화,H,8
2025-03-23,한화,HR,2
2025-03-23,한화,R,4
2025-03-23,한화,SO,7
2025-03-23,한화,경기결과,L
2025-03-23,한화,도루,0
2025-03-23,한화,사구,4
2025-03-23,한화,실책,0
