팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,나균안,4.2,21,4,2,2,3,0,6,0,3-4,86-56,0-0,51,3.86,1.50,1.42,-0.063,0.17
롯데,김강현,0.1,3,2,0,0,0,0,1,0,0-0,12-7,3-0,,0.00,2.00,2.37,-0.031,-0.13
롯데,정철원,1.0,2,0,0,0,0,0,1,0,1-0,7-6,2-0,,0.00,0.00,2.33,0.200,1.66
롯데,박준우,0.0,5,5,3,3,0,0,0,0,0-0,18-12,0-0,,11.57,3.00,1.21,-0.375,-4.04
롯데,송재영,1.0,3,0,0,0,0,0,1,0,0-1,11-7,2-0,,0.00,1.13,0.42,0.032,1.66
롯데,김상수,1.0,3,0,0,0,0,0,1,0,1-1,13-8,0-0,,15.43,3.00,0.08,0.006,0.62
롯데,팀 합계,8.0,37,11,5,5,3,0,10,0,5-6,147-96,7-0,51,5.63,1.75,1.31,-0.231,-0.06
SSG,박종훈,3.2,18,1,2,2,4,2,3,0,4-4,70-36,0-0,50,4.91,1.36,1.35,-0.054,0.21
SSG,김건우,4.1,14,0,0,0,1,1,7,0,2-2,65-39,1-0,,2.08,0.69,0.99,0.290,2.72
SSG,조병현,1.0,4,1,0,0,1,0,0,0,1-1,11-5,0-0,,0.00,1.29,1.07,0.033,0.62
SSG,팀 합계,9.0,36,2,2,2,6,3,10,0,7-7,146-80,1-0,50,2.00,0.89,1.14,0.269,3.55
