팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
두산,"2루타 : 케이브 (6회, 3호) , 박준영 (8회, 1호)","홈런 : 김재환 (9회, 1호)","병살타 : 장승현 (5회, 1호)","사구 : 케이브 (1회, 1호) , 정수빈 (5회, 1호) , 김재환 (5회, 1호)","타점 : 김기연 (8회 2점, 2호) , 김재환 (9회 1점, 4호)",득점권상황 : 8타수 1안타,"도루성공 : 이유찬 (1회, 1호) , 케이브 (1회, 1호)","도루실패 : 정수빈 (3회, 2호)",
KT,"홈런 : 배정대 (4회, 1호)","사구 : 김민혁 (1회, 1호) , 김민혁 (7회, 2호)","타점 : 장성우 (1회 1점, 1호) , 천성호 (1회 2점, 2호) , 배정대 (4회 1점, 5호)",득점권상황 : 8타수 2안타,"도루성공 : 김민혁 (3회, 2호)",,,,
