팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
롯데,"희생플라이 : 레이예스 (3회, 1호)","병살타 : 레이예스 (8회, 2호) , 정보근 (9회, 3호)","사구 : 손호영 (2회, 1호) , 박승욱 (4회, 1호) , 나승엽 (8회, 1호)","타점 : 레이예스 (3회 1점, 2호) , 정보근 (4회 1점, 4호)",득점권상황 : 11타수 1안타,"도루성공 : 박승욱 (4회, 1호)","실책 : 레이예스 (7회, 1호)"
SSG,"2루타 : 최지훈 (7회, 1호)","병살타 : 고명준 (6회, 1호)","타점 : 에레디아 (4회 1점, 3호) , 한유섬 (4회 1점, 1호) , 최지훈 (7회 1점, 4호) , 박성한 (7회 1점, 2호) , 에레디아 (7회 1점, 4호)",득점권상황 : 14타수 5안타,,,
