팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
키움,"2루타 : 이주형 (1회, 2호) , 최주환 (9회, 5호)","희생번트 : 김태진 (5회, 1호) , 전태현 (6회, 1호)","희생플라이 : 카디네스 (3회, 2호)","타점 : 카디네스 (3회 1점, 13호) , 최주환 (9회 2점, 7호) , 어준서 (9회 1점, 2호)",득점권상황 : 15타수 2안타,,,"실책 : 어준서 (8회, 1호)"
KIA,"2루타 : 김선빈 (9회, 2호)","홈런 : 나성범 (7회, 3호)","병살타 : 최형우 (5회, 1호)","사구 : 변우혁 (4회, 1호)","타점 : 김규성 (4회 1점, 3호) , 나성범 (7회 2점, 9호)",득점권상황 : 8타수 1안타,"주루사 : 이우성 (4회, 1호)","실책 : 변우혁 (3회, 1호) , 김규성 (5회, 1호)"
