팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,타자기록10,타자기록11,수비기록1
NC,"2루타 : 데이비슨 (1회, 1호) , 데이비슨 (3회, 2호) , 박건우 (5회, 2호) , 박건우 (8회, 3호)","3루타 : 손아섭 (4회, 1호)","홈런 : 데이비슨 (6회, 2호)","희생번트 : 김형준 (5회, 1호)","희생플라이 : 김주원 (2회, 1호)","병살타 : 서호철 (3회, 1호) , 데이비슨 (8회, 1호)","사구 : 한재환 (3회, 1호) , 권희동 (5회, 3호)","타점 : 데이비슨 (1회 1점, 3호) , 박건우 (1회 1점, 5호) , 김주원 (2회 1점, 1호) , 한재환 (3회 1점, 2호) , 한재환 (5회 1점, 3호) , 데이비슨 (6회 2점, 5호)",득점권상황 : 10타수 4안타,"도루성공 : 박민우 (2회, 1호) , 박민우 (2회, 2호) , 천재환 (8회, 1호)","주루사 : 권희동 (5회, 1호)","실책 : 서호철 (8회, 1호)"
삼성,"2루타 : 구자욱 (4회, 2호) , 김영웅 (9회, 1호)","홈런 : 박병호 (9회, 3호)","사구 : 김지찬 (6회, 1호) , 이재현 (6회, 2호)","타점 : 구자욱 (4회 1점, 9호) , 강민호 (4회 1점, 3호) , 구자욱 (6회 1점, 10호) , 강민호 (6회 1점, 4호) , 박병호 (9회 2점, 7호)",득점권상황 : 10타수 4안타,,,,,,,
