팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
롯데,"병살타 : 레이예스 (4회, 1호) , 손호영 (6회, 2호) , 전민재 (7회, 1호)","타점 : 정보근 (5회 1점, 3호)",득점권상황 : 6타수 1안타,"도루성공 : 황성빈 (8회, 1호)",,,,,
SSG,"2루타 : 박성한 (2회, 1호) , 정준재 (8회, 1호)","홈런 : 최지훈 (1회, 1호)","희생번트 : 김성현 (7회, 1호) , 오태곤 (8회, 1호)","고의4구 : 에레디아 (8회, 1호)","타점 : 최지훈 (1회 1점, 3호) , 박지환 (2회 1점, 1호) , 하재훈 (8회 1점, 3호)",득점권상황 : 9타수 2안타,"도루실패 : 오태곤 (6회, 1호)","주루사 : 정준재 (1회, 1호)",
