팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,타자기록10,수비기록1
두산,"2루타 : 양의지 (3회, 2호) , 강승호 (4회, 5호) , 추재현 (8회, 1호) , 추재현 (9회, 2호)","3루타 : 추재현 (2회, 1호) , 박계범 (8회, 1호)","홈런 : 양석환 (8회, 3호)","희생번트 : 박준영 (5회, 1호)","희생플라이 : 양의지 (4회, 2호) , 양석환 (4회, 1호) , 양석환 (6회, 2호)","병살타 : 추재현 (3회, 2호)","사구 : 오명진 (9회, 1호)","타점 : 양석환 (3회 1점, 5호) , 강승호 (3회 1점, 5호) , 김기연 (3회 1점, 3호) , 양의지 (4회 1점, 10호) , 양석환 (4회 1점, 6호) , 강승호 (4회 1점, 6호) , 양석환 (6회 1점, 7호) , 추재현 (8회 1점, 1호) , 박계범 (8회 3점, 4호) , 김인태 (8회 1점, 5호) , 양석환 (8회 2점, 9호) , 김재환 (9회 1점, 6호)",득점권상황 : 26타수 8안타,"도루성공 : 이유찬 (1회, 3호) , 조수행 (9회, 2호)","실책 : 양석환 (5회, 1호)"
롯데,"2루타 : 유강남 (1회, 3호)","홈런 : 김민성 (7회, 1호)","희생번트 : 전민재 (5회, 4호) , 장두성 (6회, 5호)","사구 : 윤동희 (3회, 1호)","타점 : 유강남 (1회 2점, 5호) , 정훈 (2회 1점, 4호) , 레이예스 (2회 2점, 8호) , 김민성 (4회 1점, 4호) , 전준우 (5회 1점, 4호) , 전민재 (6회 1점, 2호) , 전준우 (6회 1점, 5호) , 김민성 (7회 3점, 7호)",득점권상황 : 20타수 7안타,"도루성공 : 전준우 (5회, 1호) , 한태양 (7회, 1호) , 레이예스 (7회, 2호)","주루사 : 전민재 (6회, 1호)",,,
