팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,신민혁,5.0,21,3,2,2,2,1,5,0,4-6,85-55,0-0,56,3.60,0.80,1.24,0.131,1.02
NC,최성영,0.2,2,0,0,0,0,0,0,0,1-1,5-3,2-1,,11.25,2.00,2.93,0.035,0.19
NC,전사민,1.1,6,2,0,0,0,0,0,0,3-1,23-15,1-1,,5.68,1.11,1.91,-0.020,0.05
NC,김진호,1.0,3,0,0,0,1,0,0,0,1-1,12-6,0-0,,2.25,1.50,0.84,0.028,0.61
NC,손주환,1.0,3,0,0,0,0,0,1,0,1-1,8-5,0-0,,0.00,0.27,0.04,0.003,0.61
NC,팀 합계,9.0,35,5,2,2,3,1,6,0,10-10,133-84,3-2,56,2.00,0.89,1.39,0.177,2.48
키움,정현우,5.0,21,4,2,2,5,0,4,1,1-6,101-60,0-0,50,5.40,2.40,0.92,0.000,1.05
키움,오석주,1.0,4,1,0,0,0,0,2,0,1-0,16-12,0-0,,1.23,1.09,0.53,0.038,0.61
키움,김선기,0.1,2,0,1,1,1,0,1,0,0-0,7-3,0-0,,3.68,1.50,1.34,-0.003,0.00
키움,박윤성,0.2,3,1,0,0,0,0,0,0,2-0,13-8,1-1,,3.18,1.06,1.87,-0.137,-0.39
키움,이강준,1.0,6,3,3,3,0,0,1,1,2-0,21-15,0-0,,10.80,2.40,0.91,-0.210,-2.39
키움,조영건,1.0,7,4,2,2,0,0,2,0,1-0,23-14,0-0,,8.10,2.10,0.05,-0.011,-1.39
키움,팀 합계,9.0,43,13,8,8,6,0,10,2,7-6,181-112,1-1,50,8.00,2.11,0.94,-0.323,-2.51
