팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
KIA,"2루타 : 나성범 (7회, 3호) , 변우혁 (7회, 2호)","병살타 : 박정우 (3회, 1호)","사구 : 김태군 (6회, 1호)","타점 : 변우혁 (7회 1점, 8호)",득점권상황 : 5타수 1안타,,,,"실책 : 이우성 (2회, 1호)"
LG,"2루타 : 신민재 (1회, 1호)","희생번트 : 구본혁 (4회, 3호)","희생플라이 : 홍창기 (4회, 1호) , 오스틴 (7회, 1호)","사구 : 구본혁 (2회, 1호)","타점 : 홍창기 (2회 2점, 6호) , 홍창기 (4회 1점, 7호) , 오스틴 (7회 1점, 11호)",득점권상황 : 5타수 2안타,"도루성공 : 박해민 (7회, 4호)","주루사 : 신민재 (7회, 1호)",
