팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
NC,"2루타 : 김형준 (3회, 2호) , 박민우 (9회, 3호)","홈런 : 김휘집 (3회, 2호) , 김형준 (8회, 2호)","희생번트 : 서호철 (3회, 3호)","타점 : 김휘집 (3회 1점, 4호) , 권희동 (3회 1점, 3호) , 김주원 (7회 1점, 8호) , 김형준 (8회 3점, 6호) , 박민우 (9회 1점, 3호) , 도태훈 (9회 1점, 1호)",득점권상황 : 9타수 4안타,"도루실패 : 권희동 (1회, 1호) , 박건우 (2회, 1호)","주루사 : 박건우 (4회, 1호)",
키움,"2루타 : 김태진 (3회, 2호) , 박주홍 (5회, 1호)","희생플라이 : 최주환 (6회, 1호)","병살타 : 최주환 (8회, 1호)","사구 : 이주형 (6회, 5호)","타점 : 최주환 (6회 1점, 11호) , 이형종 (6회 1점, 1호)",득점권상황 : 8타수 1안타,"도루성공 : 송성문 (6회, 2호)",
