팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
KT,"2루타 : 배정대 (3회, 3호) , 장성우 (4회, 2호)","병살타 : 강백호 (1회, 1호) , 허경민 (6회, 2호)","사구 : 강백호 (7회, 1호)",득점권상황 : 4타수 0안타,"주루사 : 로하스 (1회, 2호) , 장성우 (4회, 1호)",
SSG,"병살타 : 에레디아 (4회, 2호) , 정준재 (6회, 1호)","타점 : 오태곤 (9회 1점, 6호)",득점권상황 : 6타수 1안타,"도루성공 : 오태곤 (5회, 2호) , 오태곤 (7회, 3호)","주루사 : 박성한 (5회, 1호)",
