날짜,팀,기록,기록값
20250323,NC,R,5
20250323,NC,H,10
20250323,NC,HR,1
20250323,NC,SO,7
20250323,NC,GDP,1
20250323,NC,사구,5
20250323,NC,경기결과,W
20250323,KIA,경기결과,L
20250323,KIA,R,4
20250323,KIA,H,6
20250323,KIA,HR,2
20250323,KIA,SO,9
20250323,KIA,GDP,0
20250323,KIA,사구,3
20250323,NC,경기결과,W
20250323,KIA,경기결과,L
20250323,NC,도루,0
20250323,NC,실책,0
20250323,KIA,도루,0
20250323,KIA,실책,0
20250323,두산,R,2
20250323,두산,H,9
20250323,두산,HR,0
20250323,두산,SO,12
20250323,두산,GDP,0
20250323,두산,사구,2
20250323,두산,경기결과,L
20250323,SSG,경기결과,W
20250323,SSG,R,5
20250323,SSG,H,10
20250323,SSG,HR,0
20250323,SSG,SO,8
20250323,SSG,GDP,1
20250323,SSG,사구,3
20250323,두산,경기결과,L
20250323,SSG,경기결과,W
20250323,두산,도루,0
20250323,두산,실책,0
20250323,SSG,도루,2
20250323,SSG,실책,0
20250323,롯데,R,2
20250323,롯데,H,6
20250323,롯데,HR,0
20250323,롯데,SO,7
20250323,롯데,GDP,2
20250323,롯데,사구,4
20250323,롯데,경기결과,L
20250323,LG,경기결과,W
20250323,LG,R,10
20250323,LG,H,13
20250323,LG,HR,5
20250323,LG,SO,10
20250323,LG,GDP,0
20250323,LG,사구,2
20250323,롯데,경기결과,L
20250323,LG,경기결과,W
20250323,롯데,도루,0
20250323,롯데,실책,0
20250323,LG,도루,2
20250323,LG,실책,0
20250323,키움,R,7
20250323,키움,H,11
20250323,키움,HR,1
20250323,키움,SO,12
20250323,키움,GDP,1
20250323,키움,사구,5
20250323,키움,경기결과,L
20250323,삼성,경기결과,W
20250323,삼성,R,11
20250323,삼성,H,15
20250323,삼성,HR,4
20250323,삼성,SO,8
20250323,삼성,GDP,0
20250323,삼성,사구,4
20250323,키움,경기결과,L
20250323,삼성,경기결과,W
20250323,키움,도루,0
20250323,키움,실책,0
20250323,삼성,도루,4
20250323,삼성,실책,0
20250323,한화,R,4
20250323,한화,H,8
20250323,한화,HR,2
20250323,한화,SO,7
20250323,한화,GDP,2
20250323,한화,사구,4
20250323,한화,경기결과,L
20250323,KT,경기결과,W
20250323,KT,R,5
20250323,KT,H,7
20250323,KT,HR,0
20250323,KT,SO,5
20250323,KT,GDP,0
20250323,KT,사구,5
20250323,한화,경기결과,L
20250323,KT,경기결과,W
20250323,한화,도루,0
20250323,한화,실책,0
20250323,KT,도루,1
20250323,KT,실책,0
