날짜,팀,기록,기록값
2025-03-30,KIA,GDP,2
2025-03-30,KIA,H,11
2025-03-30,KIA,HR,1
2025-03-30,KIA,R,5
2025-03-30,KIA,SO,7
2025-03-30,KIA,경기결과,W
2025-03-30,KIA,도루,2
2025-03-30,KIA,사구,1
2025-03-30,KIA,실책,1
2025-03-30,KT,GDP,0
2025-03-30,KT,H,7
2025-03-30,KT,HR,0
2025-03-30,KT,R,4
2025-03-30,KT,SO,10
2025-03-30,KT,경기결과,D
2025-03-30,KT,도루,0
2025-03-30,KT,사구,7
2025-03-30,KT,실책,0
2025-03-30,SSG,GDP,1
2025-03-30,SSG,H,6
2025-03-30,SSG,HR,1
2025-03-30,SSG,R,8
2025-03-30,SSG,SO,4
2025-03-30,SSG,경기결과,W
2025-03-30,SSG,도루,1
2025-03-30,SSG,사구,8
2025-03-30,SSG,실책,2
2025-03-30,두산,GDP,0
2025-03-30,두산,H,4
2025-03-30,두산,HR,1
2025-03-30,두산,R,2
2025-03-30,두산,SO,8
2025-03-30,두산,경기결과,L
2025-03-30,두산,도루,0
2025-03-30,두산,사구,2
2025-03-30,두산,실책,1
2025-03-30,롯데,GDP,1
2025-03-30,롯데,H,10
2025-03-30,롯데,HR,1
2025-03-30,롯데,R,4
2025-03-30,롯데,SO,9
2025-03-30,롯데,경기결과,D
2025-03-30,롯데,도루,0
2025-03-30,롯데,사구,5
2025-03-30,롯데,실책,2
2025-03-30,삼성,GDP,1
2025-03-30,삼성,H,5
2025-03-30,삼성,HR,0
2025-03-30,삼성,R,3
2025-03-30,삼성,SO,3
2025-03-30,삼성,경기결과,W
2025-03-30,삼성,도루,1
2025-03-30,삼성,사구,3
2025-03-30,삼성,실책,0
2025-03-30,키움,GDP,1
2025-03-30,키움,H,7
2025-03-30,키움,HR,1
2025-03-30,키움,R,2
2025-03-30,키움,SO,5
2025-03-30,키움,경기결과,L
2025-03-30,키움,도루,0
2025-03-30,키움,사구,5
2025-03-30,키움,실책,2
2025-03-30,한화,GDP,1
2025-03-30,한화,H,6
2025-03-30,한화,HR,0
2025-03-30,한화,R,3
2025-03-30,한화,SO,8
2025-03-30,한화,경기결과,L
2025-03-30,한화,도루,2
2025-03-30,한화,사구,6
2025-03-30,한화,실책,0
