날짜,팀,기록,기록값
20250325,NC,R,5
20250325,NC,H,10
20250325,NC,HR,0
20250325,NC,SO,11
20250325,NC,GDP,0
20250325,NC,사구,5
20250325,NC,경기결과,L
20250325,삼성,경기결과,W
20250325,삼성,R,14
20250325,삼성,H,12
20250325,삼성,HR,4
20250325,삼성,SO,9
20250325,삼성,GDP,2
20250325,삼성,사구,9
20250325,NC,경기결과,L
20250325,삼성,경기결과,W
20250325,NC,도루,0
20250325,NC,실책,1
20250325,삼성,도루,0
20250325,삼성,실책,0
20250325,두산,R,3
20250325,두산,H,12
20250325,두산,HR,0
20250325,두산,SO,10
20250325,두산,GDP,1
20250325,두산,사구,2
20250325,두산,경기결과,L
20250325,KT,경기결과,W
20250325,KT,R,8
20250325,KT,H,12
20250325,KT,HR,2
20250325,KT,SO,4
20250325,KT,GDP,0
20250325,KT,사구,5
20250325,두산,경기결과,L
20250325,KT,경기결과,W
20250325,두산,도루,1
20250325,두산,실책,0
20250325,KT,도루,1
20250325,KT,실책,1
20250325,롯데,R,3
20250325,롯데,H,10
20250325,롯데,HR,0
20250325,롯데,SO,6
20250325,롯데,GDP,2
20250325,롯데,사구,5
20250325,롯데,경기결과,W
20250325,SSG,경기결과,L
20250325,SSG,R,2
20250325,SSG,H,4
20250325,SSG,HR,2
20250325,SSG,SO,6
20250325,SSG,GDP,0
20250325,SSG,사구,5
20250325,롯데,경기결과,W
20250325,SSG,경기결과,L
20250325,롯데,도루,1
20250325,롯데,실책,1
20250325,SSG,도루,1
20250325,SSG,실책,1
20250325,키움,R,6
20250325,키움,H,10
20250325,키움,HR,1
20250325,키움,SO,9
20250325,키움,GDP,0
20250325,키움,사구,3
20250325,키움,경기결과,L
20250325,KIA,경기결과,W
20250325,KIA,R,11
20250325,KIA,H,17
20250325,KIA,HR,5
20250325,KIA,SO,5
20250325,KIA,GDP,0
20250325,KIA,사구,3
20250325,키움,경기결과,L
20250325,KIA,경기결과,W
20250325,키움,도루,1
20250325,키움,실책,1
20250325,KIA,도루,2
20250325,KIA,실책,1
20250325,한화,R,0
20250325,한화,H,2
20250325,한화,HR,0
20250325,한화,SO,9
20250325,한화,GDP,0
20250325,한화,사구,1
20250325,한화,경기결과,L
20250325,LG,경기결과,W
20250325,LG,R,5
20250325,LG,H,6
20250325,LG,HR,0
20250325,LG,SO,7
20250325,LG,GDP,0
20250325,LG,사구,5
20250325,한화,경기결과,L
20250325,LG,경기결과,W
20250325,한화,도루,0
20250325,한화,실책,1
20250325,LG,도루,0
20250325,LG,실책,0
