팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
LG,손주영,7.0,24,5,1,1,0,0,5,0,9-5,76-54,0-0,68,2.25,0.75,0.16,0.062,3.26
LG,백승현,1.0,6,1,0,0,2,0,1,0,0-2,25-13,0-0,,3.38,3.38,0.02,0.000,0.61
LG,우강훈,1.0,4,0,0,0,2,0,0,0,1-1,19-9,0-0,,0.00,1.25,0.00,0.000,0.61
LG,팀 합계,9.0,34,6,1,1,4,0,6,0,10-8,120-76,0-0,68,1.00,1.11,0.06,0.062,4.48
키움,윤현,2.0,17,7,9,8,4,0,0,0,2-4,69-38,0-0,4,9.28,2.53,0.78,-0.434,-7.78
키움,조영건,5.0,19,4,3,3,0,0,3,2,5-6,57-34,0-0,,6.94,1.54,0.02,-0.004,0.04
키움,박주성,2.0,9,2,1,1,1,1,2,0,3-0,27-17,0-0,,4.50,1.50,0.00,0.000,0.22
키움,팀 합계,9.0,45,13,13,12,5,1,5,2,10-10,153-89,0-0,4,12.00,2.00,0.27,-0.438,-7.52
