팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
KIA,"2루타 : 최형우 (8회, 6호)","타점 : 이우성 (6회 1점, 4호) , 변우혁 (6회 2점, 10호) , 변우혁 (8회 1점, 11호) , 김태군 (8회 1점, 3호)",득점권상황 : 13타수 5안타,"도루성공 : 김규성 (7회, 1호) , 박재현 (9회, 2호)",,,"실책 : 김도현 (5회, 1호)"
롯데,"2루타 : 정훈 (3회, 4호) , 고승민 (4회, 1호) , 레이예스 (5회, 4호) , 전민재 (8회, 4호)","병살타 : 정훈 (1회, 1호)","타점 : 레이예스 (5회 1점, 9호) , 레이예스 (7회 1점, 10호) , 전민재 (8회 1점, 3호)",득점권상황 : 16타수 3안타,"도루성공 : 황성빈 (7회, 2호)","도루실패 : 고승민 (6회, 1호)","실책 : 박승욱 (2회, 1호) , 황성빈 (6회, 1호) , 박승욱 (7회, 2호)"
