팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
한화,"2루타 : 노시환 (3회, 1호)","홈런 : 노시환 (1회, 3호)","희생플라이 : 최재훈 (8회, 1호)","병살타 : 최재훈 (6회, 1호)","사구 : 최재훈 (2회, 2호)","타점 : 노시환 (1회 3점, 7호) , 노시환 (7회 1점, 8호) , 최재훈 (8회 1점, 1호)",득점권상황 : 9타수 2안타,"실책 : 플로리얼 (4회, 1호)"
두산,"2루타 : 정수빈 (1회, 2호) , 양의지 (8회, 3호)","홈런 : 양의지 (4회, 2호)","희생번트 : 정수빈 (5회, 1호) , 조수행 (9회, 1호)","사구 : 추재현 (5회, 1호)","타점 : 양의지 (1회 1점, 11호) , 양의지 (4회 1점, 12호) , 박계범 (4회 1점, 5호) , 김기연 (11회 1점, 4호)",득점권상황 : 12타수 3안타,"도루성공 : 강승호 (4회, 2호)","실책 : 강승호 (9회, 1호)"
