팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KIA,김도현,5.1,24,9,2,1,0,0,3,0,4-4,84-59,0-0,47,1.56,1.27,1.06,0.044,1.33
KIA,최지민,0.2,2,0,0,0,1,0,0,0,0-1,8-3,0-0,,2.84,1.89,1.58,0.048,0.32
KIA,조상우,1.0,5,1,1,1,1,0,2,0,1-0,22-13,0-0,,2.70,1.35,1.97,-0.140,-0.39
KIA,전상현,0.2,4,2,1,1,0,0,0,0,1-1,23-16,0-0,,14.73,2.18,2.24,-0.099,-0.78
KIA,곽도규,0.1,1,0,0,0,0,0,1,0,0-0,3-3,1-0,,10.80,2.10,3.49,0.099,0.39
KIA,정해영,1.0,3,0,0,0,0,0,2,0,0-1,20-14,0-0,,5.40,1.40,2.64,0.200,0.61
KIA,팀 합계,9.0,39,12,4,3,2,0,8,0,6-7,160-108,1-0,47,3.00,1.56,2.16,0.152,1.48
롯데,김진욱,5.2,22,2,3,3,2,0,5,0,8-5,86-53,0-0,56,3.18,1.12,1.05,0.246,2.72
롯데,박진,0.1,3,1,0,0,1,0,0,0,1-0,7-2,3-3,,4.32,1.44,3.64,-0.350,-2.06
롯데,김상수,0.2,4,1,0,0,0,0,1,0,2-0,16-11,0-0,,13.50,3.19,1.45,0.000,0.09
롯데,정현수,0.1,1,0,0,0,0,0,0,0,0-1,4-2,2-0,,4.76,1.06,2.02,0.056,0.52
롯데,정철원,0.1,5,3,2,2,1,0,0,0,0-1,21-12,0-0,,7.71,2.00,1.95,-0.385,-2.56
롯데,김강현,1.0,3,0,0,0,0,0,1,0,1-1,11-8,2-0,,3.86,2.14,0.87,0.064,1.46
롯데,송재영,0.1,3,1,0,0,1,0,1,0,0-0,10-5,0-0,,2.25,1.75,0.62,-0.011,-0.23
롯데,박세현,0.1,1,0,0,0,0,0,0,0,0-1,4-2,2-0,,10.80,1.80,1.25,0.032,0.55
롯데,팀 합계,9.0,42,8,5,5,5,0,8,0,12-9,159-95,9-3,56,5.00,1.44,1.61,-0.348,0.49
