팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
SSG,"홈런 : 이지영 (8회, 1호)","타점 : 한유섬 (3회 1점, 4호) , 한유섬 (5회 1점, 5호) , 이지영 (8회 1점, 1호)",득점권상황 : 7타수 2안타,"도루성공 : 최지훈 (3회, 2호)","주루사 : 이지영 (2회, 1호)",
삼성,"2루타 : 김영웅 (1회, 2호) , 김헌곤 (6회, 1호)","홈런 : 박병호 (4회, 5호)","고의4구 : 이재현 (6회, 1호)","타점 : 강민호 (1회 2점, 13호) , 박병호 (4회 1점, 12호) , 류지혁 (6회 1점, 9호) , 김성윤 (6회 1점, 4호) , 김영웅 (6회 2점, 14호)",득점권상황 : 7타수 4안타,
