팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,목지훈,3.2,19,4,3,3,4,0,5,0,3-3,82-43,0-0,42,8.22,1.96,1.32,-0.181,-1.00
NC,김시훈,1.2,7,0,0,0,2,0,0,0,4-0,26-14,1-0,,0.00,1.00,0.53,0.058,1.05
NC,한재승,0.2,1,0,0,0,0,0,1,0,0-0,6-4,1-0,,2.45,1.91,0.58,0.030,0.61
NC,김재열,2.0,7,0,0,0,1,0,3,0,2-1,28-21,0-0,,8.44,2.06,0.38,0.054,1.22
NC,팀 합계,8.0,34,4,3,3,7,0,9,0,9-4,142-82,2-0,42,3.38,1.38,0.70,-0.039,1.88
KT,고영표,7.0,23,3,1,1,0,0,10,0,7-1,99-66,0-0,77,3.06,1.19,0.91,0.297,3.27
KT,김민수,1.0,4,1,1,1,0,0,1,1,0-2,13-11,0-0,,2.61,1.16,1.25,0.003,-0.39
KT,박영현,1.0,4,0,0,0,1,0,2,0,0-1,21-12,0-0,,3.86,1.71,3.62,0.162,0.61
KT,팀 합계,9.0,31,4,2,2,1,0,13,1,7-4,133-89,0-0,77,2.00,0.56,1.93,0.462,3.49
