팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
NC,"2루타 : 박민우 (6회, 4호)","홈런 : 김형준 (8회, 3호)","타점 : 손아섭 (1회 1점, 7호) , 김형준 (8회 1점, 7호)",득점권상황 : 4타수 0안타,"도루성공 : 박민우 (1회, 3호)","도루실패 : 김주원 (4회, 1호)",
KT,"타점 : 장성우 (3회 2점, 5호)",득점권상황 : 7타수 1안타,"도루성공 : 황재균 (4회, 1호)","도루실패 : 배정대 (6회, 2호)",,,
