팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
LG,"2루타 : 박해민 (3회, 2호)","홈런 : 김현수 (7회, 1호) , 박동원 (7회, 2호)","희생플라이 : 오지환 (1회, 2호)","병살타 : 최원영 (9회, 1호)","사구 : 문정빈 (8회, 1호)","타점 : 문보경 (1회 2점, 16호) , 오지환 (1회 1점, 7호) , 오스틴 (2회 2점, 13호) , 문보경 (2회 1점, 17호) , 오지환 (2회 1점, 8호) , 박동원 (2회 1점, 6호) , 신민재 (3회 1점, 9호) , 김현수 (7회 1점, 9호) , 박동원 (7회 1점, 7호) , 오지환 (8회 1점, 9호)",득점권상황 : 13타수 6안타,"주루사 : 문보경 (1회, 2호)","실책 : 문보경 (1회, 1호)"
키움,"병살타 : 이주형 (1회, 1호) , 이주형 (6회, 2호) , 여동욱 (7회, 2호) , 강진성 (9회, 2호)","타점 : 오선진 (5회 1점, 2호)",득점권상황 : 6타수 2안타,,,,,,"실책 : 여동욱 (1회, 1호) , 푸이그 (2회, 1호)"
