팀,승,무,패,승률,순위
LG,9,0,1,0.9,1
SSG,6,0,3,0.667,2
삼성,7,0,4,0.636,3
KT,5,1,5,0.5,4
두산,5,0,6,0.455,5
키움,5,0,6,0.455,5
롯데,4,1,6,0.4,7
NC,3,0,5,0.375,8
KIA,4,0,7,0.364,9
한화,3,0,8,0.273,10
