팀,승,무,패,승률,순위
LG,5,0,0,1.0,1
SSG,4,0,1,0.8,2
KT,3,0,2,0.6,3
삼성,3,0,2,0.6,3
NC,3,0,2,0.6,3
KIA,2,0,3,0.4,6
키움,2,0,3,0.4,6
두산,1,0,4,0.2,8
한화,1,0,4,0.2,8
롯데,1,0,4,0.2,8
