팀,승,무,패,승률,순위
LG,12,0,1,0.923,1
삼성,10,0,5,0.667,2
SSG,7,0,5,0.583,3
NC,6,0,6,0.5,4
두산,7,0,8,0.467,5
KT,6,1,7,0.462,6
롯데,6,1,8,0.429,7
KIA,5,0,9,0.357,8
한화,5,0,10,0.333,9
키움,5,0,10,0.333,9
