팀,승,무,패,승률,순위
LG,9,0,1,0.9,1
SSG,6,0,3,0.667,2
삼성,7,0,5,0.583,3
KT,5,1,5,0.5,4
롯데,5,1,6,0.455,5
NC,4,0,5,0.444,6
키움,5,0,7,0.417,7
두산,5,0,7,0.417,7
KIA,4,0,7,0.364,9
한화,4,0,8,0.333,10
