팀,승,무,패,승률,순위
LG,8,0,1,0.889,1
SSG,5,0,3,0.625,2
삼성,6,0,4,0.6,3
KT,5,1,4,0.556,4
롯데,4,1,5,0.444,5
NC,3,0,4,0.429,6
두산,4,0,6,0.4,7
KIA,4,0,6,0.4,7
키움,4,0,6,0.4,7
한화,3,0,7,0.3,10
