팀,승,무,패,승률,순위
LG,11,0,1,0.917,1
삼성,9,0,5,0.643,2
SSG,7,0,4,0.636,3
두산,7,0,7,0.5,4
KT,6,1,6,0.5,4
NC,5,0,6,0.455,6
롯데,5,1,8,0.385,7
KIA,5,0,8,0.385,7
키움,5,0,9,0.357,9
한화,4,0,10,0.286,10
