팀,승,무,패,승률,순위
삼성,2,0,0,1.0,1
LG,2,0,0,1.0,1
SSG,2,0,0,1.0,1
KIA,1,0,1,0.5,4
한화,1,0,1,0.5,4
KT,1,0,1,0.5,4
NC,1,0,1,0.5,4
두산,0,0,2,0.0,8
롯데,0,0,2,0.0,8
키움,0,0,2,0.0,8
