팀,승,무,패,승률,순위
LG,10,0,1,0.909,1
SSG,7,0,3,0.7,2
삼성,8,0,5,0.615,3
NC,5,0,5,0.5,4
두산,6,0,7,0.462,5
KT,5,1,6,0.455,6
롯데,5,1,7,0.417,7
키움,5,0,8,0.385,8
KIA,4,0,8,0.333,9
한화,4,0,9,0.308,10
