팀,승,무,패,승률,순위
KIA,1,0,0,1.0,1
삼성,1,0,0,1.0,1
LG,1,0,0,1.0,1
SSG,1,0,0,1.0,1
한화,1,0,0,1.0,1
두산,0,0,1,0.0,6
KT,0,0,1,0.0,6
롯데,0,0,1,0.0,6
NC,0,0,1,0.0,6
키움,0,0,1,0.0,6
