팀,승,무,패,승률,순위
LG,7,0,1,0.875,1
삼성,6,0,3,0.667,2
SSG,5,0,3,0.625,3
KT,5,1,3,0.625,3
키움,4,0,5,0.444,5
NC,3,0,4,0.429,6
롯데,3,1,5,0.375,7
KIA,3,0,6,0.333,8
한화,3,0,6,0.333,8
두산,3,0,6,0.333,8
