팀,승,무,패,승률,순위
LG,7,0,0,1.0,1
삼성,4,0,3,0.571,2
SSG,4,0,3,0.571,2
KT,4,0,3,0.571,2
키움,4,0,3,0.571,2
한화,3,0,4,0.429,6
NC,3,0,4,0.429,6
KIA,2,0,5,0.286,8
롯데,2,0,5,0.286,8
두산,2,0,5,0.286,8
