팀,승,무,패,승률,순위
LG,4,0,0,1.0,1
삼성,3,0,1,0.75,2
SSG,3,0,1,0.75,2
KIA,2,0,2,0.5,4
KT,2,0,2,0.5,4
NC,2,0,2,0.5,4
롯데,1,0,3,0.25,7
두산,1,0,3,0.25,7
한화,1,0,3,0.25,7
키움,1,0,3,0.25,7
