팀,승,무,패,승률,순위
삼성,3,0,0,1.0,1
LG,3,0,0,1.0,1
KIA,2,0,1,0.667,3
KT,2,0,1,0.667,3
SSG,2,0,1,0.667,3
롯데,1,0,2,0.333,6
한화,1,0,2,0.333,6
NC,1,0,2,0.333,6
두산,0,0,3,0.0,9
키움,0,0,3,0.0,9
