팀,승,무,패,승률,순위
LG,7,0,0,1.0,1
삼성,5,0,3,0.625,2
SSG,5,0,3,0.625,2
KT,4,1,3,0.571,4
키움,4,0,4,0.5,5
NC,3,0,4,0.429,6
한화,3,0,5,0.375,7
KIA,3,0,5,0.375,7
롯데,2,1,5,0.286,9
두산,2,0,6,0.25,10
