팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
두산,잭로그,6.0,26,7,4,4,2,0,5,0,7-4,89-59,0-0,45,6.00,1.50,1.10,-0.086,0.21
두산,박치국,0.0,2,2,1,1,0,0,0,0,0-0,5-4,1-1,,6.75,1.50,1.01,-0.125,-1.94
두산,이병헌,0.1,1,0,0,0,0,0,1,0,0-0,3-3,2-0,,0.00,0.00,0.50,0.024,0.70
두산,박정수,0.2,2,0,0,0,0,0,1,0,0-1,7-5,2-1,,0.00,0.00,0.54,-0.010,0.30
두산,최준호,1.0,4,1,0,0,1,0,1,0,0-1,16-10,0-0,,0.00,2.00,0.11,0.006,0.61
두산,팀 합계,8.0,35,10,5,5,3,0,8,0,7-6,120-81,5-2,45,5.63,1.63,0.65,-0.191,-0.12
SSG,김광현,5.2,26,7,2,2,2,0,8,0,4-5,99-63,0-0,53,3.18,1.59,1.29,0.100,1.41
SSG,한두솔,1.0,3,0,0,0,0,0,1,0,0-2,13-10,1-0,,0.00,0.60,1.44,0.113,0.73
SSG,노경은,0.1,1,0,0,0,0,0,1,0,0-0,4-3,0-0,,0.00,2.25,0.80,0.021,0.13
SSG,김민,1.0,5,2,0,0,0,0,1,0,1-1,16-11,0-0,,0.00,2.00,1.28,0.042,0.61
SSG,조병현,1.0,3,0,0,0,0,0,1,0,1-1,10-10,0-0,,0.00,0.43,0.43,0.033,0.61
SSG,팀 합계,9.0,38,9,2,2,2,0,12,0,6-9,142-97,1-0,53,2.00,1.22,1.05,0.309,3.49
