팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
두산,"2루타 : 강승호 (4회, 1호) , 강승호 (6회, 2호) , 강승호 (8회, 3호)","타점 : 이유찬 (4회 1점, 1호) , 이유찬 (6회 1점, 2호)",득점권상황 : 9타수 4안타,,,,,
SSG,"희생플라이 : 에레디아 (7회, 1호)","병살타 : 에레디아 (3회, 1호)","타점 : 정준재 (3회 2점, 2호) , 정준재 (5회 1점, 3호) , 최지훈 (7회 1점, 2호) , 에레디아 (7회 1점, 1호)",득점권상황 : 12타수 6안타,"도루성공 : 안상현 (7회, 1호) , 오태곤 (8회, 1호)","도루실패 : 최상민 (8회, 1호)","주루사 : 안상현 (5회, 1호)",
