팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
키움,"2루타 : 최주환 (5회, 1호) , 송성문 (7회, 1호)","홈런 : 카디네스 (8회, 1호)","병살타 : 여동욱 (9회, 1호)","사구 : 최주환 (2회, 1호) , 김동헌 (3회, 1호) , 이주형 (4회, 1호)","타점 : 최주환 (3회 2점, 2호) , 카디네스 (4회 1점, 2호) , 카디네스 (8회 4점, 6호)",득점권상황 : 16타수 5안타,,"실책 : 이재상 (2회, 1호) , 이강준 (6회, 1호)"
삼성,"2루타 : 강민호 (8회, 3호)","홈런 : 디아즈 (3회, 1호) , 김영웅 (5회, 1호) , 박병호 (6회, 1호) , 디아즈 (8회, 2호)","희생플라이 : 류지혁 (7회, 1호)","타점 : 이재현 (2회 1점, 1호) , 류지혁 (2회 2점, 3호) , 디아즈 (3회 1점, 3호) , 김영웅 (5회 1점, 2호) , 박병호 (6회 2점, 4호) , 류지혁 (7회 1점, 4호) , 디아즈 (8회 2점, 5호)",득점권상황 : 14타수 5안타,"도루성공 : 김헌곤 (3회, 1호) , 김지찬 (4회, 1호) , 양도근 (7회, 1호) , 김지찬 (7회, 2호)","도루실패 : 강민호 (6회, 1호)","실책 : 이재현 (2회, 1호)"
