팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,타자기록10,수비기록1
NC,"2루타 : 박민우 (1회, 2호)","3루타 : 박민우 (4회, 1호)","홈런 : 데이비슨 (2회, 1호)","희생번트 : 서호철 (6회, 1호)","병살타 : 박건우 (5회, 1호)","사구 : 김휘집 (4회, 1호)","타점 : 데이비슨 (2회 1점, 1호) , 김형준 (2회 1점, 1호) , 박민우 (4회 2점, 2호) , 김휘집 (6회 1점, 1호)",득점권상황 : 10타수 3안타,"도루실패 : 서호철 (8회, 1호) , 박민우 (9회, 1호)","주루사 : 박민우 (1회, 1호)","실책 : 박건우 (6회, 1호)"
KIA,"2루타 : 나성범 (1회, 1호) , 김선빈 (6회, 1호) , 박찬호 (7회, 1호)","홈런 : 이우성 (2회, 1호) , 한준수 (9회, 2호)","타점 : 이우성 (2회 2점, 2호) , 김선빈 (6회 1점, 3호) , 한준수 (9회 1점, 4호)",득점권상황 : 7타수 1안타,,,,,,,
