팀명,항목1,항목2,항목3,항목4,항목5,항목6,도루
롯데,"2루타 : 전민재 (3회, 1호)","병살타 : 손호영 (1회, 1호) , 나승엽 (2회, 1호)","타점 : 전민재 (8회 1점, 1호) , 정보근 (9회 1점, 1호)",득점권상황 : 8타수 3안타,,,0
LG,"3루타 : 구본혁 (8회, 1호)","홈런 : 문보경 (1회, 2호) , 박동원 (2회, 1호) , 오스틴 (5회, 1호) , 송찬의 (6회, 1호) , 문정빈 (8회, 1호)","타점 : 문보경 (1회 2점, 4호) , 박동원 (2회 1점, 1호) , 오스틴 (5회 1점, 2호) , 송찬의 (6회 1점, 2호) , 박동원 (8회 1점, 2호) , 구본혁 (8회 2점, 3호) , 문정빈 (8회 2점, 2호)",득점권상황 : 7타수 4안타,"도루성공 : 박해민 (4회, 1호) , 신민재 (8회, 1호)","견제사 : 구본혁 (2회, 1호)",2
