팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
한화,"2루타 : 황영묵 (7회, 1호) , 심우준 (7회, 1호)","홈런 : 노시환 (8회, 1호)","사구 : 김태연 (7회, 1호)","타점 : 김태연 (3회 1점, 1호) , 황영묵 (7회 1점, 1호) , 심우준 (7회 1점, 1호) , 노시환 (8회 1점, 1호)",득점권상황 : 8타수 3안타,"도루성공 : 심우준 (3회, 1호) , 노시환 (4회, 1호) , 이상혁 (5회, 1호) , 이원석 (7회, 1호)",,,,
KT,"2루타 : 강백호 (1회, 1호) , 천성호 (6회, 1호)","홈런 : 김상수 (9회, 1호)","희생플라이 : 배정대 (2회, 1호)","병살타 : 김민혁 (5회, 1호)","사구 : 배정대 (6회, 1호)","타점 : 김민혁 (1회 1점, 1호) , 배정대 (2회 1점, 1호) , 김상수 (9회 1점, 1호)",득점권상황 : 9타수 1안타,"도루성공 : 윤준혁 (8회, 1호)","도루실패 : 안치영 (9회, 1호)",
