팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,반즈,3.0,20,8,7,7,2,1,2,1,3-2,81-50,0-0,15,21.00,3.33,0.74,-0.337,-4.72
롯데,김강현,1.1,7,1,2,0,1,0,2,0,2-1,35-22,0-0,,0.00,1.50,0.14,-0.016,-0.07
롯데,송재영,1.1,7,1,0,0,2,0,2,0,2-0,33-18,1-1,,0.00,2.25,0.06,-0.007,0.08
롯데,박준우,1.1,6,1,0,0,0,1,1,0,3-0,18-12,2-0,,0.00,0.75,0.03,0.002,1.03
롯데,김상수,1.0,7,4,3,3,0,0,1,1,1-1,20-15,0-0,,27.00,4.00,0.00,-0.001,-2.24
롯데,팀 합계,8.0,47,15,12,10,5,2,8,2,11-4,187-117,3-1,15,11.25,2.50,0.19,-0.359,-5.92
LG,치리노스,6.0,26,5,2,2,3,0,8,0,5-5,103-65,0-0,59,3.00,1.33,0.67,0.133,2.55
LG,김진성,1.0,3,0,0,0,0,0,0,0,0-3,6-6,0-0,,0.00,0.00,0.06,0.005,0.76
LG,박명근,1.0,4,1,0,0,0,0,0,0,0-3,11-6,0-0,,0.00,1.00,0.05,0.003,-0.24
LG,우강훈,1.0,3,1,0,0,0,0,0,0,2-0,12-7,0-0,,0.00,1.00,0.00,0.000,0.76
LG,팀 합계,9.0,36,7,2,2,3,0,8,0,7-11,132-84,0-0,59,2.00,1.11,0.20,0.141,3.83
