팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
롯데,"2루타 : 레이예스 (4회, 1호)","병살타 : 정보근 (9회, 1호)","타점 : 손호영 (4회 2점, 2호)",득점권상황 : 6타수 2안타,,,,,,"실책 : 유강남 (1회, 1호) , 나승엽 (4회, 1호) , 고승민 (5회, 1호)"
LG,"2루타 : 김현수 (1회, 1호) , 오스틴 (1회, 1호) , 홍창기 (3회, 1호) , 송찬의 (4회, 1호)","홈런 : 문보경 (1회, 1호) , 오지환 (8회, 1호)","희생번트 : 구본혁 (2회, 1호) , 송찬의 (3회, 1호)","희생플라이 : 최원영 (8회, 1호)","병살타 : 오스틴 (5회, 1호)","사구 : 홍창기 (2회, 1호) , 박해민 (6회, 1호)","타점 : 오스틴 (1회 1점, 1호) , 문보경 (1회 2점, 2호) , 구본혁 (3회 1점, 1호) , 홍창기 (3회 2점, 2호) , 송찬의 (4회 1점, 1호) , 오지환 (8회 1점, 1호) , 신민재 (8회 1점, 1호) , 최원영 (8회 1점, 1호)",득점권상황 : 16타수 4안타,"도루성공 : 오지환 (1회, 1호)",
