팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,로건,6.0,22,4,1,1,1,0,5,0,5-7,94-64,0-0,64,1.50,0.83,0.84,0.212,3.11
NC,김태경,1.0,4,1,0,0,0,0,0,0,2-1,19-10,0-0,,0.00,1.00,1.72,0.108,0.68
NC,전사민,0.1,5,2,4,4,2,0,0,0,0-1,22-9,0-0,,99.99,12.00,4.06,-0.471,-2.68
NC,김재열,0.0,4,4,4,4,0,0,0,1,0-0,13-9,3-3,,99.99,99.99,1.30,-0.224,-4.97
NC,최우석,0.2,3,1,0,0,0,0,0,0,1-1,8-5,0-0,,0.00,1.50,0.00,0.000,0.34
NC,팀 합계,8.0,38,12,9,9,3,0,5,1,8-10,156-97,3-3,64,10.13,1.88,1.58,-0.375,-3.52
KIA,네일,5.0,18,2,0,0,0,1,5,0,6-4,66-46,0-0,68,0.00,0.40,0.94,0.287,3.42
KIA,곽도규,0.1,3,1,2,2,1,0,1,0,0-0,12-6,0-0,,54.00,6.00,1.48,-0.063,-0.52
KIA,조상우,0.0,3,1,0,0,2,0,0,0,0-0,15-5,2-2,,0.00,99.99,3.02,-0.362,-3.16
KIA,최지민,1.2,6,1,0,0,0,0,2,0,2-1,21-15,3-0,,0.00,0.60,1.46,0.211,3.05
KIA,전상현,1.0,3,0,0,0,0,0,0,0,3-0,8-6,0-0,,0.00,0.00,0.68,0.052,0.68
KIA,황동하,1.0,5,2,0,0,0,0,3,0,0-0,23-18,0-0,,0.00,2.00,0.03,0.001,0.68
KIA,팀 합계,9.0,38,7,2,2,3,1,11,0,11-5,145-96,5-2,68,2.00,1.11,1.27,0.126,4.15
